seriesEpisode,season,seasonEpisode,airDate,title,jammerStars,description
1,1,1,1/4/1993,Emissary,3.5,"On the eve of the discovery of the wormhole and his new role in Bajoran mythos, a reluctant Commander Benjamin Sisko takes the first steps in building a relationship between Bajor and the Federation."
2,1,2,1/11/1993,Past Prologue,3,Kira finds her loyalties divided when a Bajoran extremist wanted by the Cardassians comes to the station with questionable intentions.
3,1,3,1/18/1993,A Man Alone,2,"When the return of a man Odo sent to prison years earlier leads to his murder aboard the station, Odo becomes the prime suspect and a target for harassment."
4,1,4,1/25/1993,Babel,2.5,"A deadly virus created by the Bajorans 18 years earlier inadvertently breaks loose aboard the station, and prompts a race against the clock to find a cure."
5,1,5,2/1/1993,Captive Pursuit,3,"When O'Brien befriends the station's first visitor from the Gamma Quadrant, he learns that the mysterious alien is on the run from determined pursuers."
6,1,6,2/8/1993,Q-Less,2.5,A Runabout crew's discovery in the Gamma Quadrant of Q's former companion Vash leads Q to come to DS9 with questionable intentions.
7,1,7,2/15/1993,Dax,3.5,Jadzia Dax is charged with a murder that her symbiont's previous host Curzon allegedly committed. Now an extradition hearing may decide whether Jadzia can be held responsible for the actions of a previous life.
8,1,8,2/22/1993,The Passenger,2.5,"A dangerous killer dies in an apparent accident, but the security officer providing his transport to prison believes the criminal's consciousness may have yet survived."
9,1,9,3/15/1993,Move Along Home,2.5,"When alien gamblers from the Gamma Quadrant come to the station, they bring with them a device that makes Sisko, Kira, Dax, and Bashir the pawns in a dangerous game and Quark, as the game player, may be the only one who can see them to safety."
10,1,10,3/20/1993,The Nagus,3,"Grand Nagus Zek, the leader of Ferengi society, comes to DS9 to oversee the introduction of a Ferengi business presence in the Gamma Quadrant and announce Quark as his successor."
11,1,11,4/19/1993,Vortex,3.5,"A wanted man from the Gamma Quadrant with questionable motives reveals to Odo stories about other Changelings, which may hold clues to Odo's mysterious origin."
12,1,12,4/26/1993,Battle Lines,3,"Sisko, Kira, and Bashir take Kai Opaka through the wormhole for a brief excursion in the Gamma Quadrant. But when they crash-land on a desolate planet, they find a divided, warring penal colony where no one ever dies."
